job_id,title,company_name_raw,company_name_clean,state_clean,state_abbr,city_raw,remote_status,employment_type,salary_min_annual,salary_max_annual,salary_source,experience_min_years,experience_source,education_level,education_source,soc_code,soc_name,soc_quality_flag,onet_code,onet_name,naics_code,naics_name,skills,posted_at,apply_url
678456,Data Engineer,Clera,Clera,California,CA,San Francisco,onsite,Full Time,100000.0,150000.0,parsed_from_description_text,,not_found,Not specified,missing,15-1243,Database Architects,ok,,Not specified,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-08-06,https://jobs.ashbyhq.com/clera/b5955da0-3663-44f5-b657-4421b18b4ce0/application
688256,Senior Applied ML Engineer - ML4Sys,Databricks,Databricks,California,CA,San Francisco,unknown,,,,missing,4,parsed_from_text,PhD,parsed_from_text,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Algorithms; Analytics; Bioinformatics,2026-08-03,https://databricks.com/company/careers/open-positions/job?gh_jid=8656900002
703410,Senior Research Data Scientist,Roku,Roku,California,CA,San Jose,unknown,Full Time,330000.0,375000.0,annual_reported,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-07-30,https://www.weareroku.com/jobs/8013595?gh_jid=8013595
706336,"Member of Technical Staff, Data Engineering",Parallel,Parallel,California,CA,Bay Area,onsite,Full Time,150000.0,300000.0,annual_reported,,not_found,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",AI Agents; Analytics,2026-07-29,https://jobs.ashbyhq.com/parallel/23a9fd93-9c62-4793-99ca-f7b3efa11f02/application
748556,"Data Engineer, PV Prime Video TV - Tech",Amazon,Amazon,Washington,WA,Seattle,unknown,Full Time,,,missing,,not_found,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",AWS Big Data; Analytics; Big Data; Business Intelligence,2026-07-29,https://account.amazon.jobs/jobs/10486922/apply
257943,Marketing Data Scientist Senior Associate,Jpmc.fa.oraclecloud.com,Unknown employer (ATS-hosted posting),Ohio,OH,,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-25,https://jpmc.fa.oraclecloud.com/?keyword=&mode=jobs&lang=en&site_number=CX_1001#210760288
259467,"Data Analyst, Global Modeling Unit",Ecqf.fa.em2.oraclecloud.com,Unknown employer (ATS-hosted posting),California,CA,Culver City,unknown,,,,missing,,not_found,Not specified,missing,41-9012,Models,likely_misclassified,41-9012.00,Models,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-25,https://ecqf.fa.em2.oraclecloud.com/?keyword=&mode=jobs&lang=en&site_number=CX_1#8342
261014,Business Data Analyst II- Human Capital Data and Analytics Enablement,Careers.truist.com,Truist,North Carolina,NC,Charlotte,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.01,Business Intelligence Analysts,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics,2026-06-25,https://careers.truist.com/job/R0115801
261990,Data Engineer Senior - Big Data Platform Team,Careers.pnc.com,PNC,Texas,TX,Farmers Branch,unknown,,,,missing,,not_found,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Big Data,2026-06-25,https://careers.pnc.com/job/R226927
262064,Data Scientist/Portfolio Risk Manager,Jobs.bmo.com,BMO,Illinois,IL,Chicago,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics,2026-06-25,https://jobs.bmo.com/job/R260019131
